Title,Creator,Verified_Status,Watch_Count,Tags,Description
NASA「アルテミス計画」　ロケット打ち上げ再延期(2022年9月4日),ANNnewsCH,Verified,888 views,"[""New""]","
        
          
          月面着陸を目指す「アルテミス計画」でNASA＝アメリカ航空宇宙局はロケットの打ち上げを再び延期しました。 無人宇宙船を ...
        
        月面着陸を目指す「アルテミス計画」でNASA＝アメリカ航空宇宙局はロケットの打ち上げを再び延期しました。 無人宇宙船を ...
        
  From the video description


      "
Nasa: We'll go when we're ready,Sky News,Verified,2K views,"[""New""]","
        
          
          Nasa has said it will not launch the delayed Artemis 1 rocket until it's sure the full mission will go ahead as planned. Saturday's ...
        
        Nasa has said it will not launch the delayed Artemis 1 rocket until it's sure the full mission will go ahead as planned. Saturday's ...
        
  From the video description


      "
Le décollage de la fusée de la Nasa vers la Lune de nouveau reporté,euronews (en français),Verified,902 views,"[""New""]","
        
          
          Le décollage de la nouvelle méga-fusée de la Nasa vers la Lune a de nouveau été annulé samedi au dernier moment, pour la ...
        
        Le décollage de la nouvelle méga-fusée de la Nasa vers la Lune a de nouveau été annulé samedi au dernier moment, pour la ...
        
  From the video description


      "
La NASA cancela de nuevo el lanzamiento del Artemis I por una fuga de combustible,euronews (en español),Verified,1.3K views,"[""New""]","
        
          
          El segundo intento de lanzamiento del Artemis I ha quedado frustrado debido a una fuga de combustible en otra parte del cohete.
        
        El segundo intento de lanzamiento del Artemis I ha quedado frustrado debido a una fuga de combustible en otra parte del cohete.
        
  From the video description


      "
